Player_ID,Player,Display_Name,Player_Slug,NBA_Player_ID,Headshot_URL,Headshot_Source,Headshot_Status,Acquisition_Need,HTTP_Status,Content_Type,Verification_Status,Has_Headshot,Original_NBA_CDN_URL
P000676,Cameron Reynolds,Cameron Reynolds,cameron-reynolds,,,NBA CDN,verified,verify_alternate_headshot,,,verified,True,
P000677,Campy Russell,Campy Russell,campy-russell,78047.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78047.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78047.png
P000678,Carey Scurry,Carey Scurry,carey-scurry,78102.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78102.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/78102.png
P000679,Caris LeVert,Caris LeVert,caris-levert,1627747.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627747.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000680,Carl Bailey,Carl Bailey,carl-bailey,76084.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76084.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76084.png
P000681,Carl Braun,Carl Braun,carl-braun-p000681,76243.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76243.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76243.png
P000682,Carl Braun*,Carl Braun*,carl-braun-p000682,76243.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76243.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76243.png
P000683,Carl Henry,Carl Henry,carl-henry,77001.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77001.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77001.png
P000684,Carl Herrera,Carl Herrera,carl-herrera,61.0,https://cdn.nba.com/headshots/nba/latest/1040x760/61.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/61.png
P000685,Carl Kilpatrick,Carl Kilpatrick,carl-kilpatrick,77258.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77258.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77258.png
P000686,Carl Landry,Carl Landry,carl-landry,201171.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201171.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000687,Carl McNulty,Carl McNulty,carl-mcnulty,77563.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77563.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77563.png
P000688,Carl Nicks,Carl Nicks,carl-nicks,77715.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77715.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/77715.png
P000689,Carl Thomas,Carl Thomas,carl-thomas,1063.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1063.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1063.png
P000690,Carldell Johnson,Carldell Johnson,carldell-johnson,201291.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201291.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201291.png
P000691,Carlik Jones,Carlik Jones,carlik-jones,1630637.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630637.png,NBA CDN,verified,manual_identity_research,,,verified,True,
P000692,Carlos Arroyo,Carlos Arroyo,carlos-arroyo,2306.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2306.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2306.png
P000693,Carlos Boozer,Carlos Boozer,carlos-boozer,2430.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2430.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2430.png
P000694,Carlos Clark,Carlos Clark,carlos-clark,76398.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76398.png,NBA CDN,verified,visual_verification,,,verified,True,https://cdn.nba.com/headshots/nba/latest/1040x760/76398.png
