Player_ID,Player,Alternate_Headshot_URL
P001726,Geoff Crompton,https://www.basketball-reference.com/req/0/images/players/crompge01.jpg
P001730,George Bon Salle,https://www.basketball-reference.com/req/0/images/players/sallege01.jpg
P001738,George Johnson,https://www.basketball-reference.com/req/0/images/players/johnsge01.jpg
P001742,George King,https://www.basketball-reference.com/req/0/images/players/kingge01.jpg
P001770,Gerald Henderson,https://www.basketball-reference.com/req/0/images/players/hendege01.jpg
P001796,Goo Kennedy,https://www.basketball-reference.com/req/0/images/players/kennego01.jpg
P001837,Greg Smith,https://www.basketball-reference.com/req/0/images/players/smithgr01.jpg
P001859,Ha Seung-Jin,https://www.basketball-reference.com/req/0/images/players/seungha01.jpg
P001895,Hawkeye Whitney,https://www.basketball-reference.com/req/0/images/players/whitnha01.jpg
P001925,Hot Rod Hundley,https://www.basketball-reference.com/req/0/images/players/hundlho01.jpg
P001945,Hutch Jones,https://www.basketball-reference.com/req/0/images/players/joneshu01.jpg
P001949,Ibo Kutluay,https://www.basketball-reference.com/req/0/images/players/kutluib01.jpg
P001964,Isaac Austin,https://www.basketball-reference.com/req/0/images/players/austiis01.jpg
P001966,Isaac Fontaine,https://www.basketball-reference.com/req/0/images/players/fontais01.jpg
P001970,Isaac Walthour,https://www.basketball-reference.com/req/0/images/players/walthis01.jpg
P002002,J.J. Anderson,https://www.basketball-reference.com/req/0/images/players/anderjj01.jpg
P002046,Jack Turner,https://www.basketball-reference.com/req/0/images/players/turneja01.jpg
P002141,James Ray,https://www.basketball-reference.com/req/0/images/players/rayja01.jpg
P002385,Jim Paxson,https://www.basketball-reference.com/req/0/images/players/paxsoji01.jpg
P002413,Jo Jo English,https://www.basketball-reference.com/req/0/images/players/englijo01.jpg
P002414,Jo Jo White,https://www.basketball-reference.com/req/0/images/players/whitejo01.jpg
P002415,Jo Jo White*,https://www.basketball-reference.com/req/0/images/players/whitejo01.jpg
P002441,Joe Hassett,https://www.basketball-reference.com/req/0/images/players/hassejo01.jpg
P002549,John Warren,https://www.basketball-reference.com/req/0/images/players/warrejo01.jpg
P002557,Johnny Austin,https://www.basketball-reference.com/req/0/images/players/austijo01.jpg
P002560,Johnny Davis,https://www.basketball-reference.com/req/0/images/players/davisjo01.jpg
P002770,Ken Johnson,https://www.basketball-reference.com/req/0/images/players/johnske01.jpg
P002799,Kenny Sears,https://www.basketball-reference.com/req/0/images/players/searske01.jpg
P002808,Kenton Edelin,https://www.basketball-reference.com/req/0/images/players/edelike01.jpg
