Player_ID,Player,NBA_Player_ID,Headshot_URL,Headshot_Status,Verification_Status
P000682,Carl Braun*,76243.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76243.png,candidate,
P000061,Al Cervi*,76373.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76373.png,candidate,
P000060,Al Cervi,76373.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76373.png,candidate,
P004824,Wilt Chamberlain*,76375.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76375.png,candidate,
P004823,Wilt Chamberlain,76375.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76375.png,candidate,
P003282,Maurice Cheeks*,76385.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76385.png,candidate,
P003281,Maurice Cheeks,76385.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76385.png,candidate,
P001148,David Robinson,764.0,https://cdn.nba.com/headshots/nba/latest/1040x760/764.png,candidate,
P001149,David Robinson*,764.0,https://cdn.nba.com/headshots/nba/latest/1040x760/764.png,candidate,
P003503,Nat Clifton*,76404.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76404.png,candidate,
P003502,Nat Clifton,76404.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76404.png,candidate,
P001397,Doug Collins*,76421.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76421.png,candidate,
P001396,Doug Collins,76421.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76421.png,candidate,
P000848,Chuck Cooper,76442.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76442.png,candidate,
P000849,Chuck Cooper*,76442.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76442.png,candidate,
P003335,Michael Cooper,76444.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76444.png,candidate,
P003336,Michael Cooper*,76444.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76444.png,candidate,
P002954,Larry Costello,76454.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76454.png,candidate,
P002955,Larry Costello*,76454.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76454.png,candidate,
P001107,Dave Cowens*,76462.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76462.png,candidate,
P001106,Dave Cowens,76462.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76462.png,candidate,
P000402,Billy Cunningham*,76487.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76487.png,candidate,
P000401,Billy Cunningham,76487.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76487.png,candidate,
