Player_ID,Player,NBA_Player_ID,Headshot_URL,Headshot_Source,Verification_Status,Headshot_Status
P000994,Dajuan Wagner,2402.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2402.png,NBA CDN,,candidate
P000995,Dakari Johnson,1626177.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626177.png,NBA CDN,,candidate
P000996,Dakota Mathias,1629751.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629751.png,NBA CDN,,candidate
P000997,Dalano Banton,1630625.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630625.png,NBA CDN,,candidate
P000998,Dale Davis,905.0,https://cdn.nba.com/headshots/nba/latest/1040x760/905.png,NBA CDN,,candidate
P000999,Dale Ellis,107.0,https://cdn.nba.com/headshots/nba/latest/1040x760/107.png,NBA CDN,,candidate
P001000,Dale Schlueter,78084.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78084.png,NBA CDN,,candidate
P001001,Dale Wilkinson,78538.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78538.png,NBA CDN,,candidate
P001002,Dalen Terry,1631207.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631207.png,NBA CDN,,candidate
P001003,Dalibor Bagarić,2053.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2053.png,NBA CDN,,candidate
P001004,Dallas Comegys,76426.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76426.png,NBA CDN,,candidate
P001005,Dalton Knecht,1642261.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642261.png,NBA CDN,,candidate
P001006,Damian Jones,1627745.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627745.png,NBA CDN,,candidate
P001007,Damian Lillard,203081.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png,NBA CDN,,candidate
P001008,Damien Inglis,203996.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203996.png,NBA CDN,,candidate
P001009,Damien Wilkins,2863.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2863.png,NBA CDN,,candidate
P001010,Damion Baugh,1641878.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641878.png,NBA CDN,,candidate
P001011,Damion James,202345.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202345.png,NBA CDN,,candidate
P001012,Damion Lee,1627814.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627814.png,NBA CDN,,candidate
P001013,Damir Markota,200806.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200806.png,NBA CDN,,candidate
P001014,Damjan Rudež,204014.0,https://cdn.nba.com/headshots/nba/latest/1040x760/204014.png,NBA CDN,,candidate
P001015,Damon Jones,1800.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1800.png,NBA CDN,,candidate
P001016,Damon Stoudamire,757.0,https://cdn.nba.com/headshots/nba/latest/1040x760/757.png,NBA CDN,,candidate
P001017,Damone Brown,2245.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2245.png,NBA CDN,,candidate
P001018,Damyean Dotson,1628422.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628422.png,NBA CDN,,candidate
P001020,Dan Dickau,2424.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2424.png,NBA CDN,,candidate
P001021,Dan Gadzuric,2429.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2429.png,NBA CDN,,candidate
P001022,Dan Godfread,76827.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76827.png,NBA CDN,,candidate
P001023,Dan Issel,77097.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77097.png,NBA CDN,,candidate
P001024,Dan Issel*,77097.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77097.png,NBA CDN,,candidate
P001025,Dan King,77266.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77266.png,NBA CDN,,candidate
P001026,Dan Langhi,2061.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2061.png,NBA CDN,,candidate
P001027,Dan Majerle,105.0,https://cdn.nba.com/headshots/nba/latest/1040x760/105.png,NBA CDN,,candidate
P001028,Dan McClintock,2082.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2082.png,NBA CDN,,candidate
P001029,Dan O'Sullivan,77776.0,https://cdn.nba.com/headshots/nba/latest/1040x760/77776.png,NBA CDN,,candidate
P001030,Dan Roundfield,78025.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78025.png,NBA CDN,,candidate
P001031,Dan Swartz,78285.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78285.png,NBA CDN,,candidate
P001032,Dan Tieman,78342.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78342.png,NBA CDN,,candidate
P001033,Dana Barros,344.0,https://cdn.nba.com/headshots/nba/latest/1040x760/344.png,NBA CDN,,candidate
P001034,Dane Suttle,78281.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78281.png,NBA CDN,,candidate
P001035,Daniel Ewing,101137.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101137.png,NBA CDN,,candidate
P001036,Daniel Gafford,1629655.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629655.png,NBA CDN,,candidate
P001037,Daniel Gibson,200789.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200789.png,NBA CDN,,candidate
P001038,Daniel Hamilton,1627772.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627772.png,NBA CDN,,candidate
P001039,Daniel Ochefu,1627849.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627849.png,NBA CDN,,candidate
P001040,Daniel Orton,202350.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202350.png,NBA CDN,,candidate
P001041,Daniel Oturu,1630187.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630187.png,NBA CDN,,candidate
P001042,Daniel Santiago,2091.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2091.png,NBA CDN,,candidate
P001043,Daniel Theis,1628464.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628464.png,NBA CDN,,candidate
P001044,Danilo Gallinari,201568.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201568.png,NBA CDN,,candidate
P001045,Daniss Jenkins,1642450.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642450.png,NBA CDN,,candidate
P001046,Danny Ainge,76017.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76017.png,NBA CDN,,candidate
P001047,Danny Doyle,76595.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76595.png,NBA CDN,,candidate
P001048,Danny Ferry,198.0,https://cdn.nba.com/headshots/nba/latest/1040x760/198.png,NBA CDN,,candidate
P001049,Danny Finn,76717.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76717.png,NBA CDN,,candidate
P001050,Danny Fortson,1504.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1504.png,NBA CDN,,candidate
P001051,Danny Granger,101122.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101122.png,NBA CDN,,candidate
P001052,Danny Green,201980.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201980.png,NBA CDN,,candidate
P001053,Danny Manning,330.0,https://cdn.nba.com/headshots/nba/latest/1040x760/330.png,NBA CDN,,candidate
P001055,Danny Vranes,78423.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78423.png,NBA CDN,,candidate
P001056,Danny Wolf,1642874.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642874.png,NBA CDN,,candidate
P001057,Danny Young,78633.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78633.png,NBA CDN,,candidate
P001058,Dante Cunningham,201967.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201967.png,NBA CDN,,candidate
P001059,Danté Exum,203957.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203957.png,NBA CDN,,candidate
P001060,Danuel House Jr.,1627863.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627863.png,NBA CDN,,candidate
P001061,Darington Hobson,202359.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202359.png,NBA CDN,,candidate
P001062,Dario Šarić,203967.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203967.png,NBA CDN,,candidate
P001063,Dariq Whitehead,1641727.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641727.png,NBA CDN,,candidate
P001064,Darius Bazley,1629647.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629647.png,NBA CDN,,candidate
P001065,Darius Brown II,1642468.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642468.png,NBA CDN,,candidate
P001066,Darius Days,1630620.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630620.png,NBA CDN,,candidate
P001067,Darius Garland,1629636.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png,NBA CDN,,candidate
