Player_ID,Player,Career_G,Career_MP,Qualified_Career,Current_Scoring,RouteB_Scoring,Current_Efficiency,RouteB_Efficiency,Current_Creation,RouteB_Creation,Current_Rebounding,RouteB_Rebounding,Current_Defense,RouteB_Defense,Current_Impact,RouteB_Impact,Current_Overall_SDI,RouteB_Overall_SDI,RouteB_Shift_Scoring,RouteB_Shift_Efficiency,RouteB_Shift_Creation,RouteB_Shift_Rebounding,RouteB_Shift_Defense,RouteB_Shift_Impact,RouteB_Shift_Overall_SDI
a-c-green,A.C. Green,1278.0,36552.0,True,30.90113827993255,27.5716694772344,68.97402424636752,76.47554806070826,30.272384687751156,20.657672849915684,82.4043661055958,83.38954468802699,51.89692104961806,53.05084745762712,52.514919011082696,52.514919011082696,50.16593798163521,55.227655986509276,-3.3294688026981483,7.501523814340743,-9.614711837835472,0.9851785824311889,1.1539264080090632,0.0,5.061718004874066
aaron-brooks,Aaron Brooks,645.0,13439.0,True,63.37921585160203,65.09274873524451,39.07058781158951,36.42495784148398,70.11590466617048,81.87183811129849,11.18327456402752,7.841483979763912,21.570632772072397,9.491525423728813,30.861040068201195,30.861040068201195,41.98402260916173,27.82462057335582,1.7135328836424861,-2.6456299701055315,11.755933445128008,-3.3417905842636086,-12.079107348343584,0.0,-14.159402035805908
aaron-gordon,Aaron Gordon,756.0,22081.0,True,60.51876053962901,61.63575042158516,65.8522427735574,72.59696458684654,64.22392910289875,72.00674536256324,64.06259598389397,63.57504215851602,44.56720565453124,41.440677966101696,47.05882352941177,47.05882352941177,57.51041793137361,73.44013490725126,1.116989881956151,6.744721813289132,7.782816259664486,-0.487553825377951,-3.1265276884295474,0.0,15.929716975877653
aaron-mckie,Aaron McKie,793.0,19156.0,True,18.275716694772346,12.647554806070826,38.521482402937664,35.58178752107926,54.89581621555048,54.974704890387855,38.93906848855645,39.96627318718381,69.58485403086702,80.59322033898304,73.06052855924979,73.06052855924979,48.33900144325289,50.0,-5.62816188870152,-2.939694881858408,0.07888867483737272,1.027204698627358,11.008366308116024,0.0,1.66099855674711
aaron-williams,Aaron Williams,715.0,12000.0,True,35.930860033726816,34.654300168634066,62.10187594205671,67.79089376053963,13.602831430231946,5.39629005059022,77.71910320533016,77.48735244519393,67.60196462588974,77.45762711864407,28.55924978687127,28.55924978687127,46.34941681672255,42.58010118043845,-1.27655986509275,5.689017818482924,-8.206541379641727,-0.2317507601362223,9.855662492754334,0.0,-3.769315636284105
adam-keefe,Adam Keefe,617.0,10334.0,True,27.840430016863408,23.355817875210793,67.43343158326039,75.04215851602024,26.049694789140283,15.430016863406408,82.58822540599702,83.72681281618887,48.472557500455615,48.47457627118644,42.028985507246375,42.028985507246375,46.43523696160388,42.917369308600335,-4.484612141652615,7.608726932759851,-10.619677925733875,1.138587410191846,0.0020187707308281233,0.0,-3.5178676530035418
adonal-foyle,Adonal Foyle,733.0,13060.0,True,4.326096121416526,1.433389544688027,14.826846660436946,5.902192242833053,4.601120320695697,1.0118043844856661,84.32160516084315,85.91905564924114,64.3287988401727,72.20338983050847,2.0460358056265986,2.0460358056265986,26.357996424569844,1.5177065767284992,-2.892706576728499,-8.924654417603893,-3.5893159362100313,1.597450488397996,7.874590990335776,0.0,-24.840289847841344
adrian-dantley,Adrian Dantley,955.0,34151.0,True,91.64523608768972,94.60370994940978,84.78384804422987,95.10961214165262,61.42691430708929,67.53794266441821,48.21066651662245,48.14502529510961,15.11581819964324,4.406779661016949,80.13640238704177,80.13640238704177,63.55068238720004,85.91905564924114,2.9584738617200514,10.325764097422748,6.1110283573289195,-0.06564122151284124,-10.709038538626292,0.0,22.368373262041104
adrian-smith,Adrian Smith,719.0,18324.0,True,46.99241146711636,47.807757166947724,43.4833073622644,41.65261382799326,49.01545217158974,45.61551433389545,2.43486095956089,0.42158516020236086,9.377664109121907,1.9491525423728813,14.066496163682864,14.066496163682864,30.07842921419248,4.3844856661045535,0.8153456998313615,-1.8306935342711412,-3.3999378376942957,-2.013275799358529,-7.428511566749026,0.0,-25.693943548087926
al-attles,Al Attles,711.0,17826.0,True,16.947723440134908,11.129848229342327,34.458248245470486,29.84822934232715,62.02311769116364,68.54974704890388,22.01414752624949,20.741989881956155,66.75191815856778,76.1864406779661,62.148337595907925,62.148337595907925,44.808085254038446,37.01517706576728,-5.817875210792581,-4.6100189031433345,6.526629357740241,-1.2721576442933369,9.434522519398328,0.0,-7.792908188271163
al-bianchi,Al Bianchi,687.0,13649.0,True,35.19034569983137,33.642495784148394,3.104580395282041,0.5902192242833052,39.22798343887378,31.02866779089376,17.875210792580102,16.020236087689714,38.78942881500426,33.13559322033898,12.27621483375959,12.27621483375959,25.95000252889363,1.1804384485666104,-1.5478499156829741,-2.514361170998736,-8.199315647980018,-1.8549747048903882,-5.653835594665274,0.0,-24.76956408032702
al-harrington,Al Harrington,981.0,28009.0,True,72.40177065767286,77.74030354131534,44.25775453737302,42.58010118043845,39.726373594613,31.618887015177066,62.03912325389268,61.88870151770658,36.486145389405976,28.305084745762713,36.99914748508099,36.99914748508099,48.40371912531791,50.33726812816189,5.338532883642486,-1.6776533569345702,-8.107486579435935,-0.15042173618610377,-8.181060643643264,0.0,1.933549002843975
al-horford,Al Horford,1183.0,36887.0,True,36.46121416526138,35.24451939291737,82.09749485438192,92.83305227655987,72.32312023125908,85.07588532883642,73.89156747789171,73.60876897133221,75.02418727813057,89.23728813559322,93.94714407502131,93.94714407502131,70.53427003940028,93.84485666104553,-1.2166947723440131,10.735557422177948,12.752765097577338,-0.28279850655950156,14.21310085746265,0.0,23.310586621645243
al-jefferson,Al Jefferson,915.0,26299.0,True,83.49515177065767,88.53288364249579,39.8588500825654,37.18381112984823,45.14926815597632,38.44856661045531,88.0039987378381,89.54468802698145,53.76352889576761,56.016949152542374,46.80306905370844,46.80306905370844,58.3120316059462,75.80101180438449,5.037731871838119,-2.6750389527171663,-6.700701545521014,1.5406892891433444,2.253420256774767,0.0,17.488980198438284
al-farouq-aminu,Al-Farouq Aminu,711.0,17698.0,True,15.144814502529512,9.780775716694773,28.78312453139393,21.922428330522767,23.0327924841083,12.225969645868465,71.8955126099345,71.75379426644182,73.21262388921853,86.27118644067797,40.92071611253197,40.92071611253197,40.07167824037495,21.753794266441822,-5.3640387858347385,-6.860696200871164,-10.806822838239833,-0.14171834349268408,13.058562551459431,0.0,-18.317883973933128
alan-henderson,Alan Henderson,652.0,13780.0,True,53.00295109612142,53.37268128161889,29.689897494775952,22.681281618887017,27.192558065118583,16.69477234401349,80.0446541258901,80.43844856661046,35.71055674563442,27.28813559322034,10.144927536231885,10.144927536231885,37.75579746974195,17.284991568296796,0.36973018549746683,-7.008615875888935,-10.497785721105092,0.39379444072035596,-8.422421152414081,0.0,-20.470805901445154
albert-king,Albert King,534.0,12836.0,True,67.05227655986509,70.99494097807757,23.28096756294712,15.177065767284992,37.02745078021659,28.246205733558178,54.16034509607009,54.72175379426644,35.396323665333696,26.694915254237287,5.115089514066496,5.115089514066496,37.72260866629557,17.032040472175378,3.9426644182124733,-8.103901795662127,-8.781245046658412,0.5614086981963524,-8.70140841109641,0.0,-20.690568194120193
alec-burks,Alec Burks,791.0,17576.0,True,72.85370994940978,78.24620573355818,43.82608040597157,41.989881956155145,60.30724045140066,64.92411467116358,40.30281377272968,40.89376053962901,40.82934964368816,36.101694915254235,47.14407502131287,47.14407502131287,52.07685524696044,60.45531197301855,5.392495784148409,-1.8361984498164219,4.61687421976292,0.5909467668993287,-4.727654728433926,0.0,8.378456726058111
alex-caruso,Alex Caruso,473.0,10307.0,True,9.437605396290053,4.2158516020236085,58.43775100329245,61.973018549747046,49.096571359454,45.78414839797639,35.0848188527995,35.83473861720068,89.26157065477678,98.98305084745763,86.78601875532821,86.78601875532821,54.496031747020986,66.3575042158516,-5.221753794266444,3.535267546454598,-3.3124229614776155,0.7499197644011772,9.721480192680858,0.0,11.86147246883062
alex-english,Alex English,1193.0,38063.0,True,87.97027824620574,91.8212478920742,64.66582582456033,71.16357504215851,73.15166098954639,85.83473861720067,50.03811224802013,50.252951096121414,33.15441582636571,23.389830508474578,66.92242114237,66.92242114237,63.320615081315566,85.24451939291737,3.85096964586846,6.497749217598184,12.683077627654285,0.21483884810128728,-9.764585317891129,0.0,21.923904311601802
alex-len,Alex Len,690.0,11754.0,True,37.69814502529511,37.268128161888704,66.4590995780831,73.60876897133221,13.749039588479606,5.564924114671164,90.4896919228397,91.56829679595278,63.09287825988301,70.08474576271186,14.322250639386189,14.322250639386189,46.03059119523221,41.73693086003372,-0.4300168634064079,7.149669393249113,-8.184115473808443,1.078604873113079,6.991867502828853,0.0,-4.2936603351984886
allan-bristow,Allan Bristow,648.0,13277.0,True,33.685286677908934,31.70320404721754,42.38214662707812,40.21922428330523,66.27875750642445,75.46374367622259,59.11728526248193,59.10623946037099,17.28310478762043,6.440677966101695,13.213981244671782,13.213981244671782,37.74384345772763,17.200674536256322,-1.9820826306913943,-2.162922343772891,9.184986169798137,-0.011045802110935199,-10.842426821518735,0.0,-20.543168921471306
allan-houston,Allan Houston,839.0,28311.0,True,81.52803541315346,86.00337268128162,69.18981760417701,77.06576728499157,45.86167382654972,40.13490725126476,11.383433904617684,8.263069139966273,19.56632521876585,8.135593220338983,20.801364023870416,20.801364023870416,44.93158528712204,37.436762225969645,4.475337268128158,7.875949680814557,-5.726766575284962,-3.120364764651411,-11.430731998426868,0.0,-7.494823061152395
allen-iverson,Allen Iverson,914.0,37584.0,True,98.79510961214166,99.57841483979765,36.377246277007295,32.715008431703204,82.19293121734977,94.77234401349072,16.834142602371127,14.33389544688027,35.682626017992604,27.203389830508474,82.86445012787723,82.86445012787723,61.19246481552352,81.11298482293424,0.7833052276559869,-3.662237845304091,12.579412796140957,-2.5002471554908574,-8.47923618748413,0.0,19.920520007410715
allen-leavell,Allen Leavell,700.0,16248.0,True,43.78709949409781,44.09780775716695,35.43620347579113,31.281618887015178,65.28893978836517,73.94603709949409,6.473619750014381,3.372681281618887,60.38271370952151,66.35593220338983,59.67604433077579,59.67604433077579,47.70048448667824,47.8920741989882,0.310708263069138,-4.154584588775954,8.657097311128922,-3.1009384683954937,5.973218493868316,0.0,0.19158971230995547
alonzo-mourning,Alonzo Mourning,838.0,25975.0,True,87.19435075885329,91.06239460370995,79.79522982429926,90.3035413153457,25.06427875538357,14.080944350758854,87.48396127027503,89.03878583473862,76.06221806802606,90.42372881355932,94.11764705882354,94.11764705882354,73.41772359603883,95.61551433389545,3.8680438448566576,10.508311491046442,-10.983334404624715,1.554824564463587,14.361510745533266,0.0,22.19779073785662
alton-lister,Alton Lister,953.0,18965.0,True,25.73946037099494,20.82630691399663,51.20087626770284,51.93929173693086,11.405149716222905,4.2158516020236085,91.6042857840771,93.25463743676222,74.49919252202028,88.22033898305085,70.50298380221653,70.50298380221653,50.45316807633701,56.57672849915683,-4.913153456998312,0.7384154692280234,-7.189298114199296,1.6503516526851172,13.721146461030571,0.0,6.123560422819821
