Player_ID,Player,Career_G,Career_MP,Qualified_Career,Current_Scoring,RouteB_Scoring,Current_Efficiency,RouteB_Efficiency,Current_Creation,RouteB_Creation,Current_Rebounding,RouteB_Rebounding,Current_Defense,RouteB_Defense,Current_Impact,RouteB_Impact,Current_Overall_SDI,RouteB_Overall_SDI,RouteB_Shift_Scoring,RouteB_Shift_Efficiency,RouteB_Shift_Creation,RouteB_Shift_Rebounding,RouteB_Shift_Defense,RouteB_Shift_Impact,RouteB_Shift_Overall_SDI,Requested_Name
alonzo-mourning,Alonzo Mourning,838.0,25975.0,True,87.19435075885329,91.06239460370995,79.79522982429926,90.3035413153457,25.06427875538357,14.080944350758854,87.48396127027503,89.03878583473862,76.06221806802606,90.42372881355932,94.11764705882354,94.11764705882354,73.41772359603883,95.61551433389545,3.8680438448566576,10.508311491046442,-10.983334404624715,1.554824564463587,14.361510745533266,0.0,22.19779073785662,Alonzo Mourning
ben-wallace,Ben Wallace,1088.0,32085.0,True,11.765177065767285,5.649241146711636,13.987538836571437,5.227655986509275,28.472523783358305,18.128161888701516,97.50284293075096,98.65092748735245,95.69361191642464,99.91525423728814,94.7996589940324,94.7996589940324,52.17032153994896,61.12984822934233,-6.115935919055649,-8.759882850062162,-10.344361894656789,1.1480845566014892,4.221642320863495,0.0,8.959526689393371,Ben Wallace
bill-russell,Bill Russell,963.0,40726.0,True,20.470699831365938,15.261382799325464,26.166367821489818,18.802698145025296,60.845621176184736,66.61045531197301,99.74704890387858,99.83136593591905,92.58312020460356,99.40677966101696,92.58312020460356,92.58312020460357,61.24508338930406,81.19730185497471,-5.209317032040474,-7.3636696764645215,5.764834135788277,0.0843170320404738,6.823659456413395,1.4210854715202004e-14,19.952218465670654,Bill Russell
david-robinson,David Robinson,987.0,34271.0,True,92.72786677908938,95.53119730185497,79.79111126660801,90.21922428330522,59.1846633910489,62.47892074198988,92.13687510740944,94.09780775716695,94.4677627335703,99.83050847457628,99.9147485080989,99.9147485080989,85.61762827578153,99.6627318718381,2.8033305227655916,10.42811301669721,3.294257350940981,1.9609326497575097,5.3627457410059804,0.0,14.045103596056578,David Robinson
dennis-rodman,Dennis Rodman,911.0,28839.0,True,5.295741989881956,1.854974704890388,63.215722977912,68.88701517706576,40.56712164597032,32.79932546374368,99.83926725587504,99.91568296795953,63.70811010674509,71.10169491525424,94.7144075021313,94.7144075021313,55.75125052627882,69.05564924114671,-3.4407672849915683,5.671292199153761,-7.76779618222664,0.07641571208448283,7.393584808509154,0.0,13.304398714867894,Dennis Rodman
dikembe-mutombo,Dikembe Mutombo,1196.0,36791.0,True,33.77908937605397,31.871838111298484,72.08340168708396,80.43844856661046,17.338202526273392,7.082630691399663,96.96679296009114,98.31365935919055,75.98484286336081,90.16949152542372,95.99317988064792,95.99317988064792,61.18926775098432,81.02866779089376,-1.9072512647554838,8.355046879526498,-10.255571834873729,1.3468663990994116,14.184648662062912,0.0,19.839400039909442,Dikembe Mutombo
draymond-green,Draymond Green,949.0,27151.0,True,10.186551433389546,4.63743676222597,47.8826407560677,47.72344013490725,72.74267505923376,85.32883642495784,63.83340737783153,63.23777403035413,89.50860475535913,99.15254237288136,96.07843137254902,96.07843137254902,61.32468409447043,81.53456998313659,-5.549114671163577,-0.1592006211604513,12.586161365724081,-0.5956333474773956,9.643937617522226,0.0,20.209885888666165,Draymond Green
hakeem-olajuwon,Hakeem Olajuwon,1238.0,44222.0,True,94.089586846543,96.88026981450253,65.72769694399894,72.25969645868466,50.93046298658576,48.988195615514336,90.96490942181576,92.32715008431703,96.69847832713252,100.0,99.0622335890878,99.06223358908781,82.08079884605786,98.90387858347385,2.790682967959526,6.531999514685722,-1.9422673710714236,1.3622406625012644,3.30152167286748,1.4210854715202004e-14,16.823079737415995,Hakeem Olajuwon
kareem-abdul-jabbar,Kareem Abdul-Jabbar,1560.0,57446.0,True,90.3210370994941,93.59190556492412,80.18115450334506,90.72512647554807,63.850858164448375,71.41652613827993,77.82817050054993,77.74030354131534,79.26851217943236,93.13559322033899,99.48849104859336,99.48849104859335,81.44657633010596,98.73524451939292,3.270868465430013,10.54397197220301,7.565667973831559,-0.08786695923458865,13.867081040906626,-1.4210854715202004e-14,17.288668189286966,Kareem Abdul-Jabbar
kevin-garnett,Kevin Garnett,1462.0,50418.0,True,85.06028667790895,89.88195615514334,65.97841775589458,72.84991568296796,76.56318397066545,89.46037099494097,83.53099829527835,85.1602023608769,88.6280317733185,98.64406779661017,99.40323955669224,99.40323955669224,82.58534416218397,98.98819561551433,4.821669477234394,6.871497927073378,12.897187024275524,1.6292040655985431,10.016036023291676,0.0,16.402851453330356,Kevin Garnett
