Category,RouteB_Rank,Player_ID,Player,Current_Scoring,RouteB_Scoring,Current_Efficiency,RouteB_Efficiency,Current_Creation,RouteB_Creation,Current_Rebounding,RouteB_Rebounding,Current_Defense,RouteB_Defense,Current_Impact,RouteB_Impact,Current_Overall_SDI,RouteB_Overall_SDI
Defense,4,tom-heinsohn,Tom Heinsohn,,,,,,,,,94.45865302642795,99.7457627118644,,,,
Defense,5,nerlens-noel,Nerlens Noel,,,,,,,,,94.0903525998772,99.66101694915254,,,,
Defense,6,bo-outlaw,Bo Outlaw,,,,,,,,,93.11511715780831,99.57627118644068,,,,
Defense,7,andrei-kirilenko,Andrei Kirilenko,,,,,,,,,92.76038643398084,99.49152542372882,,,,
Defense,8,bill-russell,Bill Russell,,,,,,,,,92.58312020460356,99.40677966101696,,,,
Defense,9,frank-ramsey,Frank Ramsey,,,,,,,,,92.32736572890026,99.32203389830508,,,,
Defense,10,k-c-jones,K.C. Jones,,,,,,,,,91.56010230179028,99.23728813559322,,,,
Defense,11,draymond-green,Draymond Green,,,,,,,,,89.50860475535913,99.15254237288136,,,,
Defense,12,julius-erving,Julius Erving,,,,,,,,,89.46546792451846,99.0677966101695,,,,
Defense,13,alex-caruso,Alex Caruso,,,,,,,,,89.26157065477678,98.98305084745763,,,,
Defense,14,robert-horry,Robert Horry,,,,,,,,,89.14167700046309,98.89830508474576,,,,
Defense,15,bobby-jones,Bobby Jones,,,,,,,,,89.05218086645623,98.8135593220339,,,,
Defense,16,jack-mcmahon,Jack McMahon,,,,,,,,,88.91730605285592,98.72881355932203,,,,
Defense,17,kevin-garnett,Kevin Garnett,,,,,,,,,88.6280317733185,98.64406779661017,,,,
Defense,18,vlade-divac,Vlade Divac,,,,,,,,,88.06246831285759,98.55932203389831,,,,
Defense,19,robert-covington,Robert Covington,,,,,,,,,87.99536456841211,98.47457627118644,,,,
Defense,20,kyle-anderson,Kyle Anderson,,,,,,,,,87.80080246217294,98.38983050847457,,,,
Defense,21,jim-king,Jim King,,,,,,,,,87.7237851662404,98.30508474576271,,,,
Defense,22,marcus-camby,Marcus Camby,,,,,,,,,87.57278755088532,98.22033898305085,,,,
Defense,23,anthony-davis,Anthony Davis,,,,,,,,,87.30199472579291,98.13559322033899,,,,
Defense,24,shawn-marion,Shawn Marion,,,,,,,,,87.1470034084022,98.05084745762711,,,,
Defense,25,scottie-pippen,Scottie Pippen,,,,,,,,,87.04771001756862,97.96610169491525,,,,
Impact,1,larry-bird,Larry Bird,,,,,,,,,,,100.0,100.0,,
Impact,2,david-robinson,David Robinson,,,,,,,,,,,99.9147485080989,99.9147485080989,,
Impact,3,michael-jordan,Michael Jordan,,,,,,,,,,,99.82949701619778,99.82949701619778,,
Impact,4,magic-johnson,Magic Johnson,,,,,,,,,,,99.74424552429667,99.74424552429667,,
Impact,5,lebron-james,LeBron James,,,,,,,,,,,99.65899403239555,99.65899403239557,,
Impact,6,wilt-chamberlain,Wilt Chamberlain,,,,,,,,,,,99.57374254049446,99.57374254049446,,
Impact,7,kareem-abdul-jabbar,Kareem Abdul-Jabbar,,,,,,,,,,,99.48849104859336,99.48849104859335,,
Impact,8,kevin-garnett,Kevin Garnett,,,,,,,,,,,99.40323955669224,99.40323955669224,,
Impact,9,tim-duncan,Tim Duncan,,,,,,,,,,,99.31798806479114,99.31798806479114,,
Impact,10,john-stockton,John Stockton,,,,,,,,,,,99.23273657289002,99.23273657289002,,
Impact,11,charles-barkley,Charles Barkley,,,,,,,,,,,99.14748508098891,99.14748508098891,,
Impact,12,hakeem-olajuwon,Hakeem Olajuwon,,,,,,,,,,,99.0622335890878,99.06223358908781,,
Impact,13,oscar-robertson,Oscar Robertson,,,,,,,,,,,98.9769820971867,98.9769820971867,,
Impact,14,jerry-west,Jerry West,,,,,,,,,,,98.8917306052856,98.89173060528559,,
Impact,15,karl-malone,Karl Malone,,,,,,,,,,,98.80647911338448,98.80647911338448,,
Impact,16,clyde-drexler,Clyde Drexler,,,,,,,,,,,98.72122762148338,98.72122762148338,,
Impact,17,kawhi-leonard,Kawhi Leonard,,,,,,,,,,,98.63597612958226,98.63597612958226,,
Impact,18,scottie-pippen,Scottie Pippen,,,,,,,,,,,98.55072463768116,98.55072463768116,,
Impact,19,shaquille-o-neal,Shaquille O'Neal,,,,,,,,,,,98.46547314578004,98.46547314578005,,
Impact,20,julius-erving,Julius Erving,,,,,,,,,,,98.38022165387896,98.38022165387895,,
Impact,21,nikola-joki,Nikola Jokić,,,,,,,,,,,98.29497016197784,98.29497016197783,,
Impact,22,stephen-curry,Stephen Curry,,,,,,,,,,,98.20971867007673,98.20971867007673,,
Impact,23,james-harden,James Harden,,,,,,,,,,,98.12446717817562,98.12446717817562,,
Impact,24,eddie-jones,Eddie Jones,,,,,,,,,,,98.03921568627452,98.03921568627452,,
Impact,25,paul-george,Paul George,,,,,,,,,,,97.9539641943734,97.9539641943734,,
Overall SDI,1,nikola-joki,Nikola Jokić,,,,,,,,,,,,,90.03079097061274,100.0
Overall SDI,2,giannis-antetokounmpo,Giannis Antetokounmpo,,,,,,,,,,,,,86.15513619588842,99.91568296795953
Overall SDI,3,lebron-james,LeBron James,,,,,,,,,,,,,85.92494901312764,99.83136593591905
Overall SDI,4,michael-jordan,Michael Jordan,,,,,,,,,,,,,85.71571592802024,99.74704890387858
