season,season_type,team,efgpct,tovpct
2010-11,Regular Season,New Orleans Hornets*,49.3,12.8
2010-11,Regular Season,New York Knicks*,51.300000000000004,12.6
2010-11,Regular Season,Milwaukee Bucks,46.7,13.0
2010-11,Regular Season,Phoenix Suns,52.2,13.2
2010-11,Regular Season,Atlanta Hawks*,50.1,13.5
2010-11,Regular Season,Indiana Pacers*,48.6,14.1
2010-11,Regular Season,Utah Jazz,49.8,13.5
2010-11,Regular Season,Golden State Warriors,51.0,13.3
2010-11,Regular Season,Los Angeles Clippers,49.6,15.1
2010-11,Regular Season,Detroit Pistons,49.5,12.5
2010-11,Regular Season,Charlotte Bobcats,48.199999999999996,14.1
2010-11,Regular Season,Sacramento Kings,48.0,14.4
2010-11,Regular Season,New Jersey Nets,47.4,13.4
2010-11,Regular Season,Toronto Raptors,49.1,13.7
2010-11,Regular Season,Minnesota Timberwolves,48.3,15.1
2010-11,Regular Season,Washington Wizards,47.099999999999994,13.9
2010-11,Regular Season,Cleveland Cavaliers,47.199999999999996,13.4
2011-12,Regular Season,Chicago Bulls*,49.0,13.2
2011-12,Regular Season,San Antonio Spurs*,52.800000000000004,12.8
2011-12,Regular Season,Oklahoma City Thunder*,51.6,15.3
2011-12,Regular Season,Miami Heat*,50.5,14.5
2011-12,Regular Season,Philadelphia 76ers*,48.0,10.9
2011-12,Regular Season,Atlanta Hawks*,50.0,13.4
2011-12,Regular Season,Indiana Pacers*,47.4,13.1
2011-12,Regular Season,New York Knicks*,49.2,14.9
2011-12,Regular Season,Denver Nuggets*,51.6,14.1
2011-12,Regular Season,Boston Celtics*,49.6,14.7
2011-12,Regular Season,Los Angeles Clippers*,50.2,12.7
2011-12,Regular Season,Memphis Grizzlies*,47.3,13.6
2011-12,Regular Season,Los Angeles Lakers*,49.1,14.2
2011-12,Regular Season,Dallas Mavericks*,48.9,13.4
2011-12,Regular Season,Orlando Magic*,50.6,14.5
2011-12,Regular Season,Utah Jazz*,48.1,13.0
2011-12,Regular Season,Milwaukee Bucks,48.1,12.9
2011-12,Regular Season,Houston Rockets,49.2,13.5
2011-12,Regular Season,Phoenix Suns,49.9,13.3
2011-12,Regular Season,Portland Trail Blazers,48.8,13.4
2011-12,Regular Season,Minnesota Timberwolves,47.699999999999996,14.0
2011-12,Regular Season,Golden State Warriors,50.5,13.3
2011-12,Regular Season,Toronto Raptors,47.5,14.8
2011-12,Regular Season,New Orleans Hornets,47.599999999999994,15.2
2011-12,Regular Season,Washington Wizards,47.199999999999996,14.2
2011-12,Regular Season,Detroit Pistons,46.800000000000004,15.0
2011-12,Regular Season,Sacramento Kings,47.199999999999996,13.0
2011-12,Regular Season,New Jersey Nets,47.3,14.3
2011-12,Regular Season,Cleveland Cavaliers,46.300000000000004,14.3
2011-12,Regular Season,Charlotte Bobcats,43.9,13.9
2012-13,Regular Season,Oklahoma City Thunder*,52.7,14.4
2012-13,Regular Season,Miami Heat*,55.2,13.7
2012-13,Regular Season,Los Angeles Clippers*,52.6,13.9
2012-13,Regular Season,San Antonio Spurs*,53.1,14.0
2012-13,Regular Season,Denver Nuggets*,51.5,13.6
2012-13,Regular Season,New York Knicks*,51.5,11.7
2012-13,Regular Season,Memphis Grizzlies*,47.199999999999996,13.3
2012-13,Regular Season,Indiana Pacers*,47.9,14.3
2012-13,Regular Season,Houston Rockets*,52.5,14.9
2012-13,Regular Season,Brooklyn Nets*,49.8,14.0
2012-13,Regular Season,Los Angeles Lakers*,51.2,13.9
2012-13,Regular Season,Golden State Warriors*,50.6,14.0
2012-13,Regular Season,Atlanta Hawks*,51.7,14.2
2012-13,Regular Season,Chicago Bulls*,47.0,13.6
2012-13,Regular Season,Utah Jazz,49.2,13.8
2012-13,Regular Season,Boston Celtics*,50.3,14.1
2012-13,Regular Season,Dallas Mavericks,50.6,13.0
2012-13,Regular Season,Milwaukee Bucks*,47.599999999999994,12.7
2012-13,Regular Season,Toronto Raptors,48.8,13.0
2012-13,Regular Season,Minnesota Timberwolves,47.3,13.8
2012-13,Regular Season,Washington Wizards,47.5,14.2
2012-13,Regular Season,Portland Trail Blazers,49.8,13.9
2012-13,Regular Season,Philadelphia 76ers,48.1,12.5
2012-13,Regular Season,Detroit Pistons,48.699999999999996,14.3
2012-13,Regular Season,New Orleans Hornets,48.9,14.0
2012-13,Regular Season,Cleveland Cavaliers,47.3,13.0
2012-13,Regular Season,Sacramento Kings,49.1,13.4
2012-13,Regular Season,Phoenix Suns,47.699999999999996,14.3
2012-13,Regular Season,Orlando Magic,48.5,13.7
2012-13,Regular Season,Charlotte Bobcats,46.0,13.2
2013-14,Regular Season,San Antonio Spurs*,53.7,13.5
2013-14,Regular Season,Los Angeles Clippers*,52.6,12.7
2013-14,Regular Season,Oklahoma City Thunder*,52.0,14.0
2013-14,Regular Season,Miami Heat*,55.400000000000006,14.6
2013-14,Regular Season,Golden State Warriors*,51.7,13.8
2013-14,Regular Season,Indiana Pacers*,49.0,14.3
2013-14,Regular Season,Houston Rockets*,53.1,14.6
2013-14,Regular Season,Portland Trail Blazers*,50.4,12.4
2013-14,Regular Season,Toronto Raptors*,49.8,13.2
2013-14,Regular Season,Phoenix Suns,51.9,14.0
2013-14,Regular Season,Minnesota Timberwolves,48.6,12.2
2013-14,Regular Season,Dallas Mavericks*,52.6,12.7
2013-14,Regular Season,Chicago Bulls*,47.099999999999994,14.2
2013-14,Regular Season,Memphis Grizzlies*,49.4,13.1
2013-14,Regular Season,Washington Wizards*,50.6,13.6
2013-14,Regular Season,Charlotte Bobcats*,48.1,11.7
2013-14,Regular Season,Atlanta Hawks*,51.5,14.3
2013-14,Regular Season,New York Knicks,50.5,12.5
2013-14,Regular Season,Brooklyn Nets*,51.4,14.1
2013-14,Regular Season,Denver Nuggets,49.7,14.0
2013-14,Regular Season,New Orleans Pelicans,49.5,12.9
2013-14,Regular Season,Sacramento Kings,48.4,13.9
2013-14,Regular Season,Cleveland Cavaliers,47.9,13.0
2013-14,Regular Season,Detroit Pistons,48.199999999999996,12.9
2013-14,Regular Season,Boston Celtics,47.699999999999996,14.2
2013-14,Regular Season,Orlando Magic,48.699999999999996,13.9
2013-14,Regular Season,Los Angeles Lakers,50.5,13.7
2013-14,Regular Season,Utah Jazz,48.4,13.9
2013-14,Regular Season,Milwaukee Bucks,47.9,14.1
2013-14,Regular Season,Philadelphia 76ers,47.5,14.8
2014-15,Regular Season,Golden State Warriors*,54.0,13.1
2014-15,Regular Season,Los Angeles Clippers*,53.300000000000004,11.6
2014-15,Regular Season,San Antonio Spurs*,51.7,13.1
2014-15,Regular Season,Atlanta Hawks*,52.7,13.5
2014-15,Regular Season,Cleveland Cavaliers*,52.0,13.4
2014-15,Regular Season,Portland Trail Blazers*,50.8,12.6
2014-15,Regular Season,Houston Rockets*,51.2,15.0
2014-15,Regular Season,Memphis Grizzlies*,48.9,12.6
2014-15,Regular Season,Toronto Raptors*,50.8,12.0
2014-15,Regular Season,Chicago Bulls*,48.9,12.9
2014-15,Regular Season,Dallas Mavericks*,51.5,11.9
2014-15,Regular Season,Oklahoma City Thunder,49.2,13.1
2014-15,Regular Season,New Orleans Pelicans*,50.1,12.5
2014-15,Regular Season,Washington Wizards*,49.9,14.0
2014-15,Regular Season,Milwaukee Bucks*,49.9,15.5
2014-15,Regular Season,Indiana Pacers,48.4,13.1
2014-15,Regular Season,Utah Jazz,49.4,14.6
2014-15,Regular Season,Boston Celtics*,48.9,12.5
2014-15,Regular Season,Phoenix Suns,50.1,13.7
2014-15,Regular Season,Detroit Pistons,48.199999999999996,12.3
2014-15,Regular Season,Miami Heat,50.0,14.5
2014-15,Regular Season,Brooklyn Nets*,49.1,13.0
2014-15,Regular Season,Charlotte Hornets,45.6,11.2
2014-15,Regular Season,Denver Nuggets,47.9,12.7
2014-15,Regular Season,Sacramento Kings,49.0,14.8
2014-15,Regular Season,Orlando Magic,49.4,14.0
2014-15,Regular Season,Los Angeles Lakers,47.3,12.1
2014-15,Regular Season,Minnesota Timberwolves,46.800000000000004,13.7
2014-15,Regular Season,Philadelphia 76ers,45.9,16.0
2014-15,Regular Season,New York Knicks,47.0,14.0
2015-16,Regular Season,San Antonio Spurs*,52.6,12.4
2015-16,Regular Season,Golden State Warriors*,56.3,13.5
2015-16,Regular Season,Oklahoma City Thunder*,52.400000000000006,14.0
2015-16,Regular Season,Cleveland Cavaliers*,52.400000000000006,12.7
2015-16,Regular Season,Toronto Raptors*,50.4,12.3
2015-16,Regular Season,Los Angeles Clippers*,52.400000000000006,12.1
2015-16,Regular Season,Atlanta Hawks*,51.6,13.8
2015-16,Regular Season,Boston Celtics*,48.8,12.1
2015-16,Regular Season,Charlotte Hornets*,50.2,11.7
2015-16,Regular Season,Utah Jazz,50.1,14.2
2015-16,Regular Season,Miami Heat*,50.8,13.3
2015-16,Regular Season,Indiana Pacers*,49.7,13.5
2015-16,Regular Season,Portland Trail Blazers*,51.1,13.2
2015-16,Regular Season,Detroit Pistons*,49.1,12.2
2015-16,Regular Season,Houston Rockets*,51.6,14.2
2015-16,Regular Season,Dallas Mavericks*,50.2,12.0
2015-16,Regular Season,Washington Wizards,51.1,13.1
2015-16,Regular Season,Chicago Bulls,48.699999999999996,12.6
2015-16,Regular Season,Orlando Magic,50.0,12.8
2015-16,Regular Season,Sacramento Kings,51.0,14.2
2015-16,Regular Season,Memphis Grizzlies*,47.699999999999996,12.3
2015-16,Regular Season,New York Knicks,48.3,12.6
2015-16,Regular Season,Denver Nuggets,48.9,13.2
2015-16,Regular Season,Minnesota Timberwolves,49.8,13.9
2015-16,Regular Season,New Orleans Pelicans,49.8,12.3
2015-16,Regular Season,Milwaukee Bucks,49.9,14.2
2015-16,Regular Season,Phoenix Suns,48.699999999999996,15.2
2015-16,Regular Season,Brooklyn Nets,49.2,13.6
2015-16,Regular Season,Los Angeles Lakers,46.0,12.5
2015-16,Regular Season,Philadelphia 76ers,48.699999999999996,14.8
2016-17,Regular Season,Golden State Warriors*,56.3,13.2
2016-17,Regular Season,San Antonio Spurs*,52.400000000000006,12.6
2016-17,Regular Season,Houston Rockets*,54.50000000000001,13.3
2016-17,Regular Season,Toronto Raptors*,51.7,11.8
2016-17,Regular Season,Los Angeles Clippers*,53.7,12.0
2016-17,Regular Season,Utah Jazz*,52.6,13.2
2016-17,Regular Season,Cleveland Cavaliers*,54.7,12.6
2016-17,Regular Season,Boston Celtics*,52.5,12.2
2016-17,Regular Season,Washington Wizards*,52.800000000000004,12.8
2016-17,Regular Season,Miami Heat,51.2,12.4
2016-17,Regular Season,Oklahoma City Thunder*,50.0,13.2
2016-17,Regular Season,Memphis Grizzlies*,49.1,12.1
2016-17,Regular Season,Denver Nuggets,53.0,13.2
2016-17,Regular Season,Chicago Bulls*,48.699999999999996,12.3
2016-17,Regular Season,Charlotte Hornets,50.1,10.7
2016-17,Regular Season,Indiana Pacers*,51.6,12.8
2016-17,Regular Season,Milwaukee Bucks*,52.7,13.2
2016-17,Regular Season,Portland Trail Blazers*,52.0,12.5
2016-17,Regular Season,Atlanta Hawks*,50.4,14.2
2016-17,Regular Season,Detroit Pistons,49.2,10.9
2016-17,Regular Season,Minnesota Timberwolves,51.1,12.9
2016-17,Regular Season,New Orleans Pelicans,50.4,11.7
2016-17,Regular Season,Dallas Mavericks,50.5,11.6
2016-17,Regular Season,New York Knicks,49.6,12.4
2016-17,Regular Season,Sacramento Kings,51.6,13.7
2016-17,Regular Season,Phoenix Suns,49.3,13.4
2016-17,Regular Season,Philadelphia 76ers,50.1,14.9
2016-17,Regular Season,Brooklyn Nets,50.7,14.7
2016-17,Regular Season,Orlando Magic,48.9,12.1
2016-17,Regular Season,Los Angeles Lakers,50.1,13.5
2017-18,Regular Season,Houston Rockets*,55.1,12.7
2017-18,Regular Season,Toronto Raptors*,53.900000000000006,12.1
2017-18,Regular Season,Golden State Warriors*,56.89999999999999,14.1
2017-18,Regular Season,Utah Jazz*,52.7,13.7
2017-18,Regular Season,Philadelphia 76ers*,53.5,14.6
2017-18,Regular Season,Boston Celtics*,51.800000000000004,12.9
2017-18,Regular Season,Oklahoma City Thunder*,51.4,12.4
2017-18,Regular Season,San Antonio Spurs*,50.7,12.2
2017-18,Regular Season,Portland Trail Blazers*,51.1,12.3
2017-18,Regular Season,Minnesota Timberwolves*,52.300000000000004,11.4
2017-18,Regular Season,Denver Nuggets,53.6,13.4
2017-18,Regular Season,Indiana Pacers*,52.5,12.3
2017-18,Regular Season,New Orleans Pelicans*,54.1,13.3
2017-18,Regular Season,Cleveland Cavaliers*,54.7,12.6
2017-18,Regular Season,Washington Wizards*,52.5,13.3
2017-18,Regular Season,Miami Heat*,52.0,13.3
2017-18,Regular Season,Charlotte Hornets,50.8,11.4
2017-18,Regular Season,Los Angeles Clippers,52.7,13.2
2017-18,Regular Season,Detroit Pistons,51.2,12.3
2017-18,Regular Season,Milwaukee Bucks*,53.1,12.9
2017-18,Regular Season,Los Angeles Lakers,51.7,13.8
2017-18,Regular Season,Dallas Mavericks,51.300000000000004,11.5
2017-18,Regular Season,New York Knicks,51.0,13.3
2017-18,Regular Season,Brooklyn Nets,51.4,13.6
2017-18,Regular Season,Orlando Magic,51.2,13.3
2017-18,Regular Season,Atlanta Hawks,51.2,14.1
2017-18,Regular Season,Memphis Grizzlies,50.0,14.0
2017-18,Regular Season,Chicago Bulls,49.7,12.6
2017-18,Regular Season,Sacramento Kings,50.2,12.8
2017-18,Regular Season,Phoenix Suns,49.5,13.9
2018-19,Regular Season,Milwaukee Bucks*,55.00000000000001,12.0
2018-19,Regular Season,Golden State Warriors*,56.49999999999999,12.6
2018-19,Regular Season,Toronto Raptors*,54.300000000000004,12.4
2018-19,Regular Season,Utah Jazz*,53.800000000000004,13.4
2018-19,Regular Season,Houston Rockets*,54.2,12.0
2018-19,Regular Season,Boston Celtics*,53.400000000000006,11.5
2018-19,Regular Season,Portland Trail Blazers*,52.800000000000004,12.1
2018-19,Regular Season,Denver Nuggets*,52.7,11.9
2018-19,Regular Season,Indiana Pacers*,53.0,12.4
2018-19,Regular Season,Oklahoma City Thunder*,51.4,11.7
2018-19,Regular Season,Philadelphia 76ers*,53.2,12.9
2018-19,Regular Season,San Antonio Spurs*,53.400000000000006,11.0
2018-19,Regular Season,Los Angeles Clippers*,52.900000000000006,12.7
2018-19,Regular Season,Orlando Magic*,51.800000000000004,11.9
2018-19,Regular Season,Brooklyn Nets*,52.0,13.0
2018-19,Regular Season,Detroit Pistons*,50.9,12.3
2018-19,Regular Season,Miami Heat,51.5,13.1
2018-19,Regular Season,Sacramento Kings,52.400000000000006,11.5
2018-19,Regular Season,Charlotte Hornets,51.4,10.9
2018-19,Regular Season,New Orleans Pelicans,52.900000000000006,12.6
2018-19,Regular Season,Dallas Mavericks,51.9,12.7
2018-19,Regular Season,Minnesota Timberwolves,51.1,11.4
2018-19,Regular Season,Los Angeles Lakers,52.7,13.4
2018-19,Regular Season,Memphis Grizzlies,50.8,12.9
2018-19,Regular Season,Washington Wizards,53.1,12.3
2018-19,Regular Season,Atlanta Hawks,52.2,14.3
2018-19,Regular Season,Chicago Bulls,50.5,12.7
2018-19,Regular Season,New York Knicks,49.0,12.4
2018-19,Regular Season,Phoenix Suns,51.4,13.8
2018-19,Regular Season,Cleveland Cavaliers,50.3,12.2
2019-20,Regular Season,Milwaukee Bucks*,55.2,12.9
2019-20,Regular Season,Boston Celtics*,53.1,12.2
2019-20,Regular Season,Los Angeles Clippers*,53.5,12.6
2019-20,Regular Season,Toronto Raptors*,53.6,13.1
2019-20,Regular Season,Los Angeles Lakers*,54.2,13.3
2019-20,Regular Season,Dallas Mavericks*,54.50000000000001,11.2
2019-20,Regular Season,Miami Heat*,54.7,13.5
2019-20,Regular Season,Houston Rockets*,53.7,12.6
2019-20,Regular Season,Utah Jazz*,54.900000000000006,13.7
2019-20,Regular Season,Philadelphia 76ers*,53.400000000000006,12.7
2019-20,Regular Season,Denver Nuggets*,53.5,12.3
2019-20,Regular Season,Indiana Pacers*,53.400000000000006,12.0
2019-20,Regular Season,Oklahoma City Thunder*,53.0,12.4
2019-20,Regular Season,Phoenix Suns,53.2,13.0
2019-20,Regular Season,Brooklyn Nets*,52.0,13.1
2019-20,Regular Season,Orlando Magic*,50.6,11.5
2019-20,Regular Season,San Antonio Spurs,53.1,11.2
2019-20,Regular Season,Memphis Grizzlies,52.800000000000004,13.2
2019-20,Regular Season,Portland Trail Blazers*,53.300000000000004,11.2
2019-20,Regular Season,New Orleans Pelicans,53.900000000000006,13.9
2019-20,Regular Season,Sacramento Kings,53.400000000000006,13.0
2019-20,Regular Season,Chicago Bulls,51.5,13.7
2019-20,Regular Season,Detroit Pistons,52.900000000000006,13.8
2019-20,Regular Season,Minnesota Timberwolves,51.4,13.0
2019-20,Regular Season,Washington Wizards,52.300000000000004,12.2
2019-20,Regular Season,New York Knicks,50.1,12.6
2019-20,Regular Season,Charlotte Hornets,50.4,13.3
2019-20,Regular Season,Atlanta Hawks,51.5,13.8
2019-20,Regular Season,Cleveland Cavaliers,52.2,14.6
2019-20,Regular Season,Golden State Warriors,49.7,13.2
2020-21,Regular Season,Utah Jazz*,56.3,12.7
2020-21,Regular Season,Los Angeles Clippers*,56.39999999999999,12.2
2020-21,Regular Season,Phoenix Suns*,56.39999999999999,11.5
2020-21,Regular Season,Milwaukee Bucks*,56.599999999999994,12.0
2020-21,Regular Season,Philadelphia 76ers*,54.1,12.8
2020-21,Regular Season,Denver Nuggets*,55.7,12.1
2020-21,Regular Season,Brooklyn Nets*,57.49999999999999,12.2
2020-21,Regular Season,Los Angeles Lakers*,53.6,13.6
2020-21,Regular Season,Dallas Mavericks*,55.00000000000001,11.1
2020-21,Regular Season,New York Knicks*,52.400000000000006,11.9
2020-21,Regular Season,Atlanta Hawks*,53.900000000000006,11.9
2020-21,Regular Season,Portland Trail Blazers*,54.0,9.9
2020-21,Regular Season,Boston Celtics*,54.300000000000004,12.5
2020-21,Regular Season,Golden State Warriors,55.1,13.3
2020-21,Regular Season,Memphis Grizzlies*,52.800000000000004,11.6
2020-21,Regular Season,Miami Heat*,54.6,13.1
2020-21,Regular Season,Indiana Pacers,54.2,11.9
2020-21,Regular Season,New Orleans Pelicans,53.7,12.7
2020-21,Regular Season,Toronto Raptors,52.900000000000006,11.9
2020-21,Regular Season,Chicago Bulls,54.7,13.6
2020-21,Regular Season,San Antonio Spurs,51.7,10.2
2020-21,Regular Season,Washington Wizards*,53.1,12.3
2020-21,Regular Season,Charlotte Hornets,53.2,13.3
2020-21,Regular Season,Sacramento Kings,54.900000000000006,12.0
2020-21,Regular Season,Detroit Pistons,51.9,13.5
2020-21,Regular Season,Minnesota Timberwolves,52.0,12.4
2020-21,Regular Season,Houston Rockets,52.1,13.0
2020-21,Regular Season,Cleveland Cavaliers,50.8,13.9
2020-21,Regular Season,Orlando Magic,49.0,11.5
2020-21,Regular Season,Oklahoma City Thunder,50.9,14.2
2021-22,Regular Season,Boston Celtics*,54.2,12.4
2021-22,Regular Season,Phoenix Suns*,54.900000000000006,11.6
2021-22,Regular Season,Utah Jazz*,55.50000000000001,12.7
2021-22,Regular Season,Memphis Grizzlies*,52.2,11.2
2021-22,Regular Season,Golden State Warriors*,55.2,13.5
2021-22,Regular Season,Miami Heat*,54.7,13.4
2021-22,Regular Season,Dallas Mavericks*,53.800000000000004,11.7
2021-22,Regular Season,Milwaukee Bucks*,54.6,11.9
2021-22,Regular Season,Philadelphia 76ers*,53.400000000000006,11.6
2021-22,Regular Season,Minnesota Timberwolves*,53.900000000000006,12.4
2021-22,Regular Season,Denver Nuggets*,55.60000000000001,13.2
2021-22,Regular Season,Toronto Raptors*,51.0,11.0
2021-22,Regular Season,Cleveland Cavaliers,53.800000000000004,13.2
2021-22,Regular Season,Atlanta Hawks*,54.300000000000004,10.8
2021-22,Regular Season,Brooklyn Nets*,54.0,12.5
2021-22,Regular Season,Charlotte Hornets,54.400000000000006,11.6
2021-22,Regular Season,San Antonio Spurs,52.7,11.1
2021-22,Regular Season,Los Angeles Clippers,53.1,12.5
2021-22,Regular Season,New York Knicks,51.300000000000004,12.0
2021-22,Regular Season,Chicago Bulls*,54.1,11.8
2021-22,Regular Season,New Orleans Pelicans*,51.7,12.5
2021-22,Regular Season,Los Angeles Lakers,53.7,12.8
2021-22,Regular Season,Washington Wizards,53.2,12.1
2021-22,Regular Season,Indiana Pacers,53.1,12.7
2021-22,Regular Season,Sacramento Kings,52.5,12.5
2021-22,Regular Season,Detroit Pistons,49.4,12.6
2021-22,Regular Season,Orlando Magic,50.3,13.0
2021-22,Regular Season,Oklahoma City Thunder,49.7,12.5
2021-22,Regular Season,Houston Rockets,53.400000000000006,14.5
2021-22,Regular Season,Portland Trail Blazers,51.5,13.0
2022-23,Regular Season,Boston Celtics*,56.599999999999994,12.0
2022-23,Regular Season,Cleveland Cavaliers*,55.60000000000001,12.3
2022-23,Regular Season,Philadelphia 76ers*,56.3,12.6
2022-23,Regular Season,Memphis Grizzlies*,54.0,11.7
2022-23,Regular Season,Milwaukee Bucks*,55.50000000000001,12.7
2022-23,Regular Season,Denver Nuggets*,57.3,13.1
2022-23,Regular Season,New York Knicks*,54.1,11.4
2022-23,Regular Season,Sacramento Kings*,57.199999999999996,12.0
2022-23,Regular Season,Phoenix Suns*,53.5,12.0
2022-23,Regular Season,New Orleans Pelicans,54.300000000000004,12.9
2022-23,Regular Season,Golden State Warriors*,57.099999999999994,14.1
2022-23,Regular Season,Toronto Raptors,51.7,10.3
2022-23,Regular Season,Chicago Bulls,55.00000000000001,12.2
2022-23,Regular Season,Oklahoma City Thunder,53.1,11.2
2022-23,Regular Season,Brooklyn Nets*,56.2,12.7
2022-23,Regular Season,Los Angeles Lakers*,54.2,12.3
2022-23,Regular Season,Los Angeles Clippers*,55.1,12.8
2022-23,Regular Season,Atlanta Hawks*,54.1,11.2
2022-23,Regular Season,Dallas Mavericks,56.49999999999999,11.4
2022-23,Regular Season,Minnesota Timberwolves*,56.00000000000001,13.6
2022-23,Regular Season,Miami Heat*,53.0,12.4
2022-23,Regular Season,Utah Jazz,54.7,13.3
2022-23,Regular Season,Washington Wizards,55.00000000000001,12.7
2022-23,Regular Season,Orlando Magic,53.2,13.4
2022-23,Regular Season,Indiana Pacers,54.50000000000001,13.0
2022-23,Regular Season,Portland Trail Blazers,54.900000000000006,13.1
2022-23,Regular Season,Charlotte Hornets,51.6,12.3
2022-23,Regular Season,Houston Rockets,51.6,14.0
2022-23,Regular Season,Detroit Pistons,52.0,13.3
2022-23,Regular Season,San Antonio Spurs,52.5,13.0
2023-24,Regular Season,Boston Celtics*,57.8,10.8
2023-24,Regular Season,Oklahoma City Thunder*,57.3,11.4
2023-24,Regular Season,Minnesota Timberwolves*,55.900000000000006,13.0
2023-24,Regular Season,Denver Nuggets*,56.2,11.5
2023-24,Regular Season,New York Knicks*,54.0,11.9
2023-24,Regular Season,New Orleans Pelicans*,55.800000000000004,11.8
2023-24,Regular Season,Los Angeles Clippers*,56.10000000000001,12.0
2023-24,Regular Season,Philadelphia 76ers*,53.2,10.7
2023-24,Regular Season,Phoenix Suns*,56.49999999999999,13.4
2023-24,Regular Season,Indiana Pacers*,57.8,11.3
2023-24,Regular Season,Golden State Warriors,55.7,12.5
2023-24,Regular Season,Milwaukee Bucks*,56.8,11.5
2023-24,Regular Season,Cleveland Cavaliers*,55.7,12.4
2023-24,Regular Season,Dallas Mavericks*,56.2,11.2
2023-24,Regular Season,Orlando Magic*,54.1,13.3
2023-24,Regular Season,Miami Heat*,53.800000000000004,11.7
2023-24,Regular Season,Sacramento Kings,55.60000000000001,11.6
2023-24,Regular Season,Houston Rockets,52.900000000000006,11.2
2023-24,Regular Season,Los Angeles Lakers*,56.599999999999994,12.5
2023-24,Regular Season,Chicago Bulls,53.400000000000006,11.0
2023-24,Regular Season,Atlanta Hawks,53.900000000000006,11.6
2023-24,Regular Season,Brooklyn Nets,53.1,11.8
2023-24,Regular Season,Utah Jazz,53.900000000000006,13.6
2023-24,Regular Season,San Antonio Spurs,53.2,13.2
2023-24,Regular Season,Toronto Raptors,53.5,12.4
2023-24,Regular Season,Memphis Grizzlies,50.9,13.4
2023-24,Regular Season,Detroit Pistons,52.6,13.5
2023-24,Regular Season,Washington Wizards,53.800000000000004,12.2
2023-24,Regular Season,Portland Trail Blazers,50.3,13.4
2023-24,Regular Season,Charlotte Hornets,52.900000000000006,12.6
2024-25,Regular Season,Oklahoma City Thunder*,56.00000000000001,10.3
2024-25,Regular Season,Boston Celtics*,56.10000000000001,10.8
2024-25,Regular Season,Cleveland Cavaliers*,57.8,11.6
2024-25,Regular Season,Minnesota Timberwolves*,55.400000000000006,13.0
2024-25,Regular Season,Los Angeles Clippers*,55.400000000000006,13.4
2024-25,Regular Season,Memphis Grizzlies*,55.400000000000006,13.1
2024-25,Regular Season,Houston Rockets*,52.300000000000004,11.8
2024-25,Regular Season,New York Knicks*,55.60000000000001,11.9
2024-25,Regular Season,Denver Nuggets*,57.3,12.5
2024-25,Regular Season,Golden State Warriors*,53.6,12.3
2024-25,Regular Season,Milwaukee Bucks*,56.8,12.2
2024-25,Regular Season,Indiana Pacers*,56.2,11.8
2024-25,Regular Season,Detroit Pistons*,54.7,13.0
2024-25,Regular Season,Los Angeles Lakers*,55.7,12.7
2024-25,Regular Season,Miami Heat*,54.400000000000006,12.4
2024-25,Regular Season,Sacramento Kings,54.800000000000004,11.8
2024-25,Regular Season,Orlando Magic*,51.0,12.9
2024-25,Regular Season,Atlanta Hawks,54.6,13.2
2024-25,Regular Season,Dallas Mavericks,54.900000000000006,12.5
2024-25,Regular Season,Chicago Bulls,55.300000000000004,12.7
2024-25,Regular Season,San Antonio Spurs,54.400000000000006,12.3
2024-25,Regular Season,Portland Trail Blazers,52.1,13.8
2024-25,Regular Season,Phoenix Suns,56.10000000000001,12.8
2024-25,Regular Season,Toronto Raptors,52.2,13.3
2024-25,Regular Season,Philadelphia 76ers,52.7,12.3
2024-25,Regular Season,Brooklyn Nets,51.6,13.7
2024-25,Regular Season,Utah Jazz,53.300000000000004,14.9
2024-25,Regular Season,Charlotte Hornets,50.3,13.7
2024-25,Regular Season,New Orleans Pelicans,51.9,12.8
2024-25,Regular Season,Washington Wizards,51.2,13.6
2025-26,Regular Season,Oklahoma City Thunder*,56.10000000000001,11.2
2025-26,Regular Season,San Antonio Spurs*,55.900000000000006,11.8
2025-26,Regular Season,Detroit Pistons*,54.6,13.0
2025-26,Regular Season,Boston Celtics*,55.300000000000004,11.2
2025-26,Regular Season,New York Knicks*,55.7,12.1
2025-26,Regular Season,Houston Rockets*,54.2,13.3
2025-26,Regular Season,Denver Nuggets*,57.699999999999996,11.5
2025-26,Regular Season,Charlotte Hornets,55.2,13.5
2025-26,Regular Season,Cleveland Cavaliers*,56.10000000000001,12.2
2025-26,Regular Season,Minnesota Timberwolves*,55.900000000000006,12.9
2025-26,Regular Season,Toronto Raptors*,54.6,12.2
2025-26,Regular Season,Atlanta Hawks*,55.400000000000006,12.3
2025-26,Regular Season,Miami Heat,54.2,11.6
2025-26,Regular Season,Los Angeles Lakers*,57.3,13.2
2025-26,Regular Season,Phoenix Suns*,53.7,12.8
2025-26,Regular Season,Los Angeles Clippers,55.900000000000006,13.2
2025-26,Regular Season,Orlando Magic*,53.1,12.4
2025-26,Regular Season,Philadelphia 76ers*,53.0,11.9
2025-26,Regular Season,Portland Trail Blazers*,53.400000000000006,14.6
2025-26,Regular Season,Golden State Warriors,54.900000000000006,13.8
2025-26,Regular Season,New Orleans Pelicans,52.7,12.2
2025-26,Regular Season,Chicago Bulls,54.7,13.3
2025-26,Regular Season,Dallas Mavericks,52.7,12.6
2025-26,Regular Season,Memphis Grizzlies,53.300000000000004,13.0
